,company_id,assets,nace_4digit,nace_2digit,country,is_biotech,all_bvdid,Description,is_financial
928,1260734.0,628668000.0,6499.0,64.0,20.0,False,IT00395320583,"Financial service activities, except insurance and pension funding",True
929,1265659.0,33915689661.0,6511.0,65.0,16.0,False,SE8020057538,"Insurance, reinsurance and pension funding, except compulsory social security",False
930,1267121.0,36437935.0,6612.0,66.0,5.0,False,GB01976691,Activities auxiliary to financial services and insurance activities,False
931,1271688.0,32489577282.0,6619.0,66.0,20.0,False,IT00714540150,Activities auxiliary to financial services and insurance activities,False
932,1272370.0,111173000.0,6832.0,64.0,2.0,False,FR414818906,"Financial service activities, except insurance and pension funding",True
933,1274424.0,178957690.0,6400.0,64.0,19.0,False,DE8170348025,"Financial service activities, except insurance and pension funding",True
934,1274530.0,465022000.0,7010.0,70.0,2.0,False,FR519116552,Activities of head offices; management consultancy activities,False
935,1275268.0,111745.0,6420.0,64.0,5.0,False,GB02331936,"Financial service activities, except insurance and pension funding",True
936,1276659.0,204612682.0,8299.0,82.0,5.0,False,GB03528371,"Office administrative, office support and other business support activities",False
937,1276692.0,75408031.0,7010.0,70.0,20.0,False,IT11028960158,Activities of head offices; management consultancy activities,False
938,1277337.0,32168808000.0,6500.0,65.0,20.0,False,IT00979820321,"Insurance, reinsurance and pension funding, except compulsory social security",False
939,1281215.0,6574178.0,7219.0,72.0,18.0,False,NO974374765,Scientific research and development ,False
940,1281590.0,4684000.0,6420.0,64.0,2.0,False,FR562111773,"Financial service activities, except insurance and pension funding",True
941,1282125.0,64253525.0,6499.0,64.0,5.0,False,GB01644127,"Financial service activities, except insurance and pension funding",True
942,1282498.0,2402539.0,6810.0,68.0,18.0,False,NO981937937,Real estate activities,False
943,1289450.0,23026912.0,6630.0,66.0,5.0,False,GB00874802,Activities auxiliary to financial services and insurance activities,False
944,1291287.0,19068601000.0,6419.0,64.0,2.0,False,FR383354594,"Financial service activities, except insurance and pension funding",True
945,1291851.0,4861775.0,2120.0,21.0,5.0,False,GB09246681,Manufacture of basic pharmaceutical products and pharmaceutical preparations,False
946,1293833.0,808667.0,7211.0,72.0,5.0,True,GB09967702,Scientific research and development ,False
947,1294035.0,26914428.0,8299.0,82.0,5.0,False,GB05257246,"Office administrative, office support and other business support activities",False
948,1296961.0,9141928400.0,6420.0,64.0,5.0,False,GB06107228,"Financial service activities, except insurance and pension funding",True
949,1297687.0,69120814.0,7219.0,21.0,16.0,False,SE5567345359,Manufacture of basic pharmaceutical products and pharmaceutical preparations,False
950,1301405.0,8609370.0,6820.0,68.0,18.0,False,NO929975022,Real estate activities,False
951,1306095.0,156872314.0,6612.0,64.0,5.0,False,GB00936683,"Financial service activities, except insurance and pension funding",True
952,1306163.0,13432166.0,7219.0,72.0,5.0,False,GB02776963,Scientific research and development ,False
953,1306510.0,47488277.0,4120.0,41.0,20.0,False,IT07952230584,Construction of buildings,False
954,1307424.0,20022846000.0,6419.0,64.0,14.0,False,ATFEB44316,"Financial service activities, except insurance and pension funding",True
955,1308716.0,20743370749.0,6419.0,64.0,20.0,False,IT02124090164,"Financial service activities, except insurance and pension funding",True
956,1310966.0,2579951.0,7211.0,72.0,5.0,True,GB07809175,Scientific research and development ,False
957,1312216.0,53171600000.0,6420.0,50.0,2.0,False,FR056801046,Water transport,False
958,1313605.0,258696.0,7211.0,72.0,5.0,True,GB07343550,Scientific research and development ,False
959,1314640.0,30028120000.0,6419.0,64.0,2.0,False,FR440676559,"Financial service activities, except insurance and pension funding",True
960,1315090.0,154663000.0,4120.0,41.0,20.0,False,IT09259601004,Construction of buildings,False
961,1315939.0,73859000000.0,6419.0,64.0,3.0,False,IE024173,"Financial service activities, except insurance and pension funding",True
962,1318862.0,2089874940.0,8412.0,84.0,18.0,False,NO983658725,Public administration and defence; compulsory social security,False
963,1319556.0,31279831.0,6630.0,66.0,16.0,False,SE5565336210,Activities auxiliary to financial services and insurance activities,False
964,1320184.0,308398557000.0,6419.0,64.0,21.0,False,ESA08663619,"Financial service activities, except insurance and pension funding",True
965,1320235.0,1232245000000.0,6419.0,64.0,19.0,False,DEFEB13216,"Financial service activities, except insurance and pension funding",True
966,1320864.0,357883134.0,6612.0,66.0,3.0,False,IE349135,Activities auxiliary to financial services and insurance activities,False
967,1324585.0,942225764.0,8690.0,86.0,5.0,False,GB04325234,Human health activities,False
968,1324811.0,1605647.0,7211.0,72.0,5.0,True,GB04698400,Scientific research and development ,False
969,1325841.0,4306125000.0,6420.0,64.0,21.0,False,ESA80027097,"Financial service activities, except insurance and pension funding",True
970,1327960.0,2517376805.0,910.0,9.0,18.0,False,NO968360302,Mining support service activities,False
971,1329092.0,8064898.0,6430.0,64.0,18.0,False,NO984554753,"Financial service activities, except insurance and pension funding",True
972,1330746.0,6620897.0,5020.0,50.0,18.0,False,NO913156056,Water transport,False
973,1331639.0,508251562.0,7010.0,70.0,5.0,False,GB03200696,Activities of head offices; management consultancy activities,False
974,1333187.0,21282114.0,7220.0,72.0,18.0,False,NO985827117,Scientific research and development ,False
975,1334037.0,18652709.0,7010.0,70.0,20.0,False,IT04122790159,Activities of head offices; management consultancy activities,False
976,1334416.0,32266312.0,6420.0,82.0,7.0,False,BE0428597666,"Office administrative, office support and other business support activities",False
977,1337455.0,5230621.0,6430.0,64.0,18.0,False,NO987308877,"Financial service activities, except insurance and pension funding",True
978,1338925.0,215869833.0,2120.0,21.0,5.0,False,GB08921143,Manufacture of basic pharmaceutical products and pharmaceutical preparations,False
979,1339286.0,5331514.0,7211.0,72.0,5.0,True,GB05237326,Scientific research and development ,False
980,1339382.0,11690120262.0,6419.0,64.0,20.0,False,IT00864530159,"Financial service activities, except insurance and pension funding",True
981,1341251.0,20403322000.0,6419.0,64.0,2.0,False,FR440242469,"Financial service activities, except insurance and pension funding",True
982,1341552.0,369042339.0,7010.0,70.0,5.0,False,GB02627518,Activities of head offices; management consultancy activities,False
983,1343598.0,83468466.0,7211.0,72.0,5.0,True,GB05221615,Scientific research and development ,False
984,1349198.0,2849931011.0,6209.0,62.0,5.0,False,GB09952065,"Computer programming, consultancy and related activities",False
985,1351115.0,36146931879.0,6612.0,66.0,5.0,False,GB01009248,Activities auxiliary to financial services and insurance activities,False
986,1355643.0,281654.0,6499.0,64.0,5.0,False,GB00955951,"Financial service activities, except insurance and pension funding",True
987,1356284.0,919810019.0,6419.0,64.0,5.0,False,GB00520241,"Financial service activities, except insurance and pension funding",True
988,1357392.0,14693000.0,6430.0,30.0,2.0,False,FR612039545,Manufacture of other transport equipment,False
989,1358385.0,575754656.0,6420.0,64.0,21.0,False,ESB86594298,"Financial service activities, except insurance and pension funding",True
990,1359987.0,592370.0,8211.0,82.0,5.0,False,GB08179075,"Office administrative, office support and other business support activities",False
991,1360510.0,6844198.0,7211.0,72.0,5.0,True,GB07925932,Scientific research and development ,False
992,1363507.0,613512.0,7211.0,72.0,5.0,True,GB07133063,Scientific research and development ,False
993,1364820.0,478916467.0,6820.0,68.0,18.0,False,NO917853002,Real estate activities,False
994,1364853.0,383097776402.0,6419.0,64.0,5.0,False,GB02068222,"Financial service activities, except insurance and pension funding",True
995,1365275.0,9274768.0,7211.0,72.0,5.0,True,GB07543971,Scientific research and development ,False
996,1365996.0,679995772.0,8299.0,82.0,5.0,False,GB05796766,"Office administrative, office support and other business support activities",False
997,1366128.0,43961683.0,6420.0,64.0,20.0,False,IT10575701007,"Financial service activities, except insurance and pension funding",True
998,1366319.0,5321011.0,6820.0,68.0,18.0,False,NO990283672,Real estate activities,False
999,1366657.0,1063690710.0,8299.0,82.0,14.0,False,AT9110770256,"Office administrative, office support and other business support activities",False
1000,1367188.0,53640458.0,8299.0,82.0,5.0,False,GB06450145,"Office administrative, office support and other business support activities",False
1001,1368424.0,903546.0,7211.0,72.0,5.0,True,GB07618820,Scientific research and development ,False
1002,1368998.0,18210386.0,6430.0,64.0,18.0,False,NO993769681,"Financial service activities, except insurance and pension funding",True
1003,1369279.0,5255330.0,7010.0,70.0,20.0,False,IT02011230501,Activities of head offices; management consultancy activities,False
1004,1371906.0,53128981000.0,6500.0,65.0,22.0,False,FI01193430,"Insurance, reinsurance and pension funding, except compulsory social security",False
1005,1372628.0,374580457.0,7010.0,70.0,14.0,False,AT9110326906,Activities of head offices; management consultancy activities,False
1006,1373505.0,23789631.0,8299.0,70.0,5.0,False,GBSC366069,Activities of head offices; management consultancy activities,False
1007,1374198.0,7910864000.0,6500.0,65.0,20.0,False,IT01947090237,"Insurance, reinsurance and pension funding, except compulsory social security",False
1008,1376878.0,68378727.0,6810.0,68.0,18.0,False,NO988844322,Real estate activities,False
1009,1376896.0,4553600000.0,6420.0,1.0,2.0,False,FR552073785,"Crop and animal production, hunting and related service activities",False
1010,1379737.0,98794755.0,6420.0,64.0,5.0,False,GB09046553,"Financial service activities, except insurance and pension funding",True
1011,1379957.0,38022299186.0,6419.0,64.0,20.0,False,IT00053810149,"Financial service activities, except insurance and pension funding",True
