,shareholder_id,company_id
0,1142,10857752
1,2227,3601366
2,2227,6246429
3,2422,11112439
4,2422,11405880
5,2858,2210105
6,6467,1142
7,6467,8104971
8,7879,3395225
9,11822,11011499
10,11822,4132629
11,11822,5409333
12,11822,11419404
13,11822,9106794
14,11822,5904730
15,11822,3826819
16,12137,7185971
17,13511,8278580
18,14295,10085661
19,14342,3731501
20,19769,3757970
21,20045,614688
22,20098,10209231
23,20635,10711745
24,22701,10514042
25,24737,1694328
26,25921,8984759
27,25921,2263835
28,25966,8339513
29,29540,614688
30,29839,6455918
31,31408,166051
32,32261,6844673
33,32862,814375
34,34472,4001653
35,38207,1282235
36,39610,5602465
37,43971,6916351
38,43975,1327539
39,43975,4419581
40,47597,4221012
41,47804,3583479
42,49969,4221965
43,49969,5052317
44,51782,10450852
45,52183,8920944
46,52401,10333197
47,55368,6867355
48,55899,3791198
49,60198,2447832
50,61952,3088346
51,63969,6621854
52,65049,8187614
53,65065,11860522
54,65269,3628001
55,69974,4017936
56,70514,411248
57,76834,3731501
58,76914,919389
59,84819,2074366
60,86438,5317277
61,86572,6421143
62,88421,8382637
63,89303,10312278
64,91586,3301196
65,91685,4165640
66,94458,2210105
67,97639,5317277
68,102662,7227675
69,103952,10091734
70,104274,3225818
71,106271,10431833
72,106271,6687242
73,106411,11899382
74,106550,6511450
75,106550,357624
76,106550,8071756
77,106550,11787569
78,106550,8104971
79,107499,10876020
80,110885,9869157
81,110885,2062222
82,110885,7478594
83,110885,10219859
84,110885,5317083
85,110885,10591046
86,110885,5107919
87,110885,653107
88,110885,8071756
89,110885,9793485
90,110885,8959609
91,110885,2484976
92,110885,4430714
93,110885,8339513
94,110885,4023596
95,110885,1230179
96,110885,6950995
97,110885,4165640
98,110885,7224720
99,110885,10177865
100,111558,1649922
101,111955,5725546
102,113467,8731754
103,114210,8646191
104,115833,3815090
105,116878,2484976
106,117467,2236731
107,119859,10698557
108,119859,10888078
109,122084,10753783
110,125739,8008425
111,130420,4875143
112,131543,836881
113,133163,11283335
114,133351,9393929
