,company_id,assets
0,1142,214173225.0
1,2227,
2,2422,
3,2858,
4,6467,10017926157.0
5,7879,424123337.0
6,11822,61130724000.0
7,12137,
8,13511,
9,14295,
10,14342,
11,15532,2320166.0
12,19769,
13,20045,
14,20098,
15,20635,
16,22701,
17,24737,219900000.0
18,25921,2058122000.0
19,25966,511474849.0
20,26291,6123550.0
21,29540,
22,29839,
23,31408,1402.0
24,32261,
25,32862,5239411.0
26,34472,
27,38207,
28,39610,2.0
29,41321,2.0
30,41704,1244347528.0
31,43971,
32,43975,5797610076.0
33,47597,
34,47804,
35,49969,
36,51782,600183216.0
37,52183,
38,52401,
39,55368,
40,55899,
41,57160,3484391.0
42,60198,
43,61952,
44,63969,
45,64392,40655910.0
46,65049,
47,65065,
48,65269,156176631.0
49,69974,
50,70514,
51,76834,
52,76914,200871805.0
53,82935,408255.0
54,83674,31702147.0
55,84819,
56,86438,
57,86572,
58,88421,15209220000.0
59,89303,
60,91586,
61,91685,
62,94458,
63,97639,
64,102662,
65,103952,
66,104274,
67,106271,
68,106411,275864922.0
69,106550,
70,107499,12923715.0
71,110885,
72,111261,
73,111558,
74,111955,39347394.0
75,113467,
76,114210,106694167.0
77,115833,128018429.0
78,116878,
79,117467,
80,119859,4161889225.0
81,122084,
82,125739,
83,130420,
84,131543,
85,133163,
86,133351,
87,136055,119589199.0
88,136764,
89,137565,245370127.0
90,140914,
91,144096,
92,147908,31033400000.0
93,151654,
94,157922,
95,159008,12086100000.0
96,159026,30028120000.0
97,160352,222817676.0
98,160741,
99,161946,
100,166051,929000.0
101,167664,
102,170271,
103,171250,
104,171889,853096435.0
105,174744,81754000.0
106,175954,
107,176100,
108,181699,3907085.0
109,183195,479051007.0
110,183591,24802439.0
111,186671,283726634.0
112,187015,
113,191853,
114,193935,
115,195315,352624159.0
116,199634,3447985000.0
117,201281,
118,201288,
119,203516,
120,204486,2184636000.0
121,205047,20326062.0
122,205538,43953999.0
123,206271,472333.0
124,206651,
125,206931,673119844.0
126,210484,1032386.0
127,210509,
128,210845,
129,212127,47731033.0
130,212547,262787088.0
131,214435,
132,215978,11380203.0
133,217659,1277311000.0
134,218847,
135,220432,
136,222699,36224339.0
137,222944,
138,226076,
139,226941,
140,230110,
141,230750,93329779000.0
142,231905,
143,234736,1901028.0
144,236366,1127.0
145,237215,
146,237387,
147,237523,
148,240190,
149,242838,
150,242939,
151,242953,
152,246786,
153,247507,215869833.0
154,248316,
155,248390,2.0
156,249230,
157,251475,1492495154.0
158,255825,
159,256749,
160,258780,169235802.0
161,259845,
162,260153,
163,260265,
164,260699,
165,265991,
166,268737,
167,271305,
168,273703,10836312000.0
169,278120,55927489.0
170,281524,
171,281642,
172,282270,
173,283381,
174,284560,
175,286171,
176,288649,412149975.0
177,289841,
178,292353,
179,294589,36028495.0
180,295306,4604345.0
181,297021,
182,298619,
183,300000,
184,300818,
185,303407,13512352.0
186,303506,
187,304837,147445524.0
188,305503,
189,306995,
190,310745,
191,311209,27879002.0
192,314400,
193,315109,534924.0
194,316422,
195,317234,2567038000.0
196,320145,4052324.0
197,321401,2336421.0
198,323788,
199,333831,15648395.0
200,337711,
201,338958,
202,341061,8605096.0
203,342551,
204,345108,124589000.0
205,349479,18499125.0
206,350417,
207,351619,280752000000.0
208,352140,3195779435.0
209,352875,
210,353941,9461925000.0
211,356003,
212,357624,367584000000.0
213,357839,150437000.0
214,359724,88572753.0
215,363192,
216,363329,
217,364394,22670907.0
218,368638,177305029.0
219,369517,1414317497.0
220,370071,21944.0
221,372033,
222,374652,716342109.0
223,376698,572658593.0
224,376772,13900021000.0
225,378228,
226,379140,
227,379300,
228,380935,5682627000.0
229,382487,
230,383183,
231,385557,336022481.0
232,387705,21661000.0
233,391045,
234,392502,
235,393790,607376000.0
236,394203,103240702.0
237,396621,2042940337.0
238,396855,
239,399262,
240,400722,
241,401549,
242,402677,201961859.0
243,403783,
244,403901,
245,404496,191550231.0
246,404551,5971000.0
247,410414,4508960.0
248,411248,195261000.0
249,414445,
250,417297,
251,419046,
252,428017,
253,433994,
254,434217,
255,435909,
256,436735,
257,437126,61352000.0
258,437797,
259,438087,
260,438098,
261,438771,338166291.0
262,439649,
263,439985,
264,440433,
265,440715,28628313.0
266,442123,
267,442594,273318.0
268,444385,
269,445550,68070587.0
270,447661,
271,447743,
272,450602,
273,451403,
274,454315,4675507522.0
275,461709,
276,463964,
277,464284,13671394.0
278,464573,54151933.0
279,464712,9263076.0
280,465948,8227357.0
281,466759,54906462.0
282,466999,40171566665.0
283,467023,176510795.0
284,469245,62591662.0
285,469882,195570374.0
286,472766,
287,474506,
288,476402,
289,482442,
290,484047,
291,488617,
292,489098,
293,491742,
294,494266,7430527.0
295,495209,12749959139.0
296,497137,108532586.0
297,499628,7006584.0
298,503844,17315023000.0
299,503879,
300,507656,42529215.0
301,512478,
302,515026,59455763.0
303,515690,
304,519510,
305,521441,
306,521447,
307,524967,
308,527607,3005180.0
309,531550,
310,538268,38203091.0
311,542099,
312,543465,9325313.0
313,544529,
314,546078,10920264000.0
315,550112,4467337.0
316,556431,
317,556738,
318,557978,
319,558581,
320,559636,
321,561170,
322,566338,77600742.0
323,566806,880032700.0
324,570431,
325,570765,252633493.0
326,574189,
327,580461,
328,582898,
329,584671,
330,585569,
331,585638,8590885327.0
332,588060,45022192.0
333,589597,297485.0
334,590998,
335,593021,23789631.0
336,594518,
337,595110,
338,595653,
339,597449,4551064.0
340,597641,35339100000.0
341,598925,
342,599258,146559.0
343,599522,
344,602532,
345,603220,8.0
346,604949,
347,605183,18395646.0
348,606188,5032196.0
349,607961,
350,608279,513638620.0
351,609815,
352,614688,195953000.0
353,615105,64999.0
354,621332,196929057.0
355,623400,
356,626100,
357,628175,7727000.0
358,629527,2784879717.0
359,634256,7247976.0
360,635419,1483754.0
361,639903,
362,642910,
363,643592,
364,644078,2307556.0
365,645373,
366,648598,3409586099.0
367,648704,
368,653107,255345000000.0
369,655100,545818740.0
370,665385,31735470.0
371,668621,
372,669233,961203161.0
373,671286,
374,676186,
375,677892,
376,679749,4043672.0
377,680044,
378,682885,1106005.0
379,683234,22800052.0
380,687503,
381,689392,635075498.0
382,691526,
383,697695,
384,699492,
385,700055,
386,701609,186694839.0
387,702540,26204993.0
388,703008,37380695333.0
389,703171,557686.0
390,709620,40298000.0
391,710991,17229957.0
392,711032,20206000.0
393,711441,
394,712332,1944636182.0
395,714896,5561137.0
396,716550,
397,716640,
398,717717,
399,719659,546396106.0
400,720965,585454.0
401,726300,2317343253.0
402,726531,
403,728370,944955.0
404,733190,10370717600.0
405,733883,16850076.0
406,734110,
407,734454,
408,740771,
409,744193,
410,744334,11753053.0
411,744393,
412,749880,
413,750973,
414,752231,
415,752309,
416,754376,187098246.0
417,754709,33170.0
418,757221,
419,758474,732159770.0
420,759769,419965270.0
421,761319,
422,762616,
423,764417,8541725000.0
424,764936,
425,765578,3988350073.0
426,765633,
427,766811,
428,770942,23222674.0
429,771348,457803531.0
430,776614,
431,779338,
432,781158,8816047.0
433,781710,
434,782730,
435,788337,163111.0
436,788850,
437,789057,215183724.0
438,789237,34598669.0
439,789599,
440,791671,
441,791900,1377549959.0
442,792333,
443,792364,
444,792823,1682062.0
445,793607,
446,794111,
447,797066,
448,802041,
449,802925,290231939.0
450,804009,
451,804759,
452,805535,
453,805709,
454,806545,
455,809324,36252261.0
456,811170,
457,811434,
458,813017,
459,813543,
460,814375,25100913.0
461,814598,
462,823654,
463,824624,21306692.0
464,829010,
465,835671,2.0
466,835824,739651082.0
467,836631,479220.0
468,836881,34683582.0
469,838050,763539325.0
470,839062,
471,843727,27933580.0
472,845446,
473,851864,152252000.0
474,852254,
475,853764,1079749113.0
476,853842,
477,855943,
478,859233,183529471.0
479,862005,
480,868093,
481,869952,
482,871438,39288682.0
483,877939,
484,878855,
485,879905,48743321.0
486,880284,
487,882440,
488,888726,
489,891243,138529759.0
490,893442,188239000.0
491,897348,
492,898433,
493,898504,
494,898790,
495,898824,
496,899605,
497,900827,
498,901560,
499,901877,
500,902651,4101765.0
501,903303,
502,903384,146792000.0
503,903801,
504,909949,
505,910887,
506,916782,
507,917603,207460544.0
508,919077,
509,919389,
510,920696,18440851817.0
511,921959,
512,923503,
513,924471,
514,926323,590258.0
515,932206,181138548.0
516,933244,
517,937306,
518,938698,
519,941281,
520,943964,95798123.0
521,944264,
522,946340,
523,948856,
524,948920,57908908253.0
525,949196,
526,949611,27940000.0
527,950570,
528,952007,
529,952062,
530,953302,
531,955401,
532,957469,
533,959122,
534,961683,
535,962131,
536,966651,8701646.0
537,968511,
538,971033,
539,971549,
540,972263,75239009.0
541,976378,
542,977970,
543,978762,338669110.0
544,980204,3683476000.0
545,983404,1065581000.0
546,985829,359388788.0
547,987272,
548,989086,389848000.0
549,991104,120012886894.0
550,992834,
551,992893,15927776.0
552,994693,
553,995575,1680162400.0
554,996973,8346446.0
555,997395,1938699.0
556,1000000,324227920.0
557,1004793,2839742421.0
558,1006428,107694055.0
559,1010038,
560,1012580,
561,1013077,1866257.0
562,1013551,68710304.0
563,1019386,763669009.0
564,1023544,
565,1023969,413682223.0
566,1024327,306839139.0
567,1024512,
568,1025259,188039668.0
569,1026360,
570,1027367,10381950.0
571,1028154,
572,1029606,
573,1033916,13123115973.0
574,1034823,
575,1047335,1991713.0
576,1048225,
577,1048872,13419072.0
578,1048882,525722000.0
579,1049513,
580,1051137,2479695.0
581,1054049,
582,1058414,
583,1061321,581187000.0
584,1065603,
585,1065789,946692974.0
586,1072505,
587,1074998,6558828312.0
588,1075417,99076895.0
589,1075618,
590,1075717,6177393000.0
591,1077422,
592,1078502,15638850852.0
593,1079871,
594,1084067,
595,1085131,
596,1085605,
597,1086203,
598,1088347,271418855.0
599,1088573,60312683.0
600,1090300,
601,1090966,650004684999.0
602,1091202,2284118000.0
603,1093906,
604,1094937,
605,1097793,
606,1098334,
607,1099158,
608,1101965,
609,1102956,40048853.0
610,1103217,124266101.0
611,1103399,
612,1104119,
613,1105829,
614,1108370,
615,1109245,
616,1111609,
617,1114763,
618,1116645,
619,1118132,
620,1118521,
621,1118779,23309692354.0
622,1122311,
623,1130153,
624,1131904,
625,1135841,5968469.0
626,1136508,1085763.0
627,1137103,
628,1137344,377412626.0
629,1142096,
630,1142425,5725000000.0
631,1142614,348643992.0
632,1143294,166190000.0
633,1143316,
634,1143798,113.0
635,1144836,8535534.0
636,1145867,
637,1146721,
638,1149221,
639,1155049,1267443397684.0
640,1157601,143430048.0
641,1161403,53171600000.0
642,1161760,131832.0
643,1165811,
644,1169370,1821676.0
645,1169615,
646,1173713,
647,1188356,
648,1189432,
649,1191321,11715994.0
650,1191611,
651,1192241,
652,1193239,3604560000.0
653,1195881,
654,1196362,
655,1200279,
656,1201636,
657,1202705,22996284000.0
658,1204175,
659,1209862,
660,1210483,
