,shareholder_id,company_id,ownership
0,4111.0,1257379.0,0.09910000000000001
1,4111.0,341686.0,0.049800000000000004
2,5178.0,360124.0,0.0033
3,6902.0,1413153.0,0.0014000000000000002
4,9383.0,327884.0,0.9993000000000001
5,10311.0,314884.0,0.5001
6,10983.0,1260734.0,0.021
7,12480.0,1259626.0,0.9998999999999999
8,12480.0,361492.0,0.024900000000000002
9,13690.0,1030015.0,0.1286
10,13690.0,409142.0,0.0876
11,14486.0,1172569.0,0.0178
12,15513.0,1148942.0,1.0
13,16216.0,110987.0,0.013300000000000001
14,20178.0,699139.0,0.22329999999999997
15,20889.0,792193.0,0.0537
16,24881.0,197651.0,0.0213
17,27769.0,1250015.0,1.0
18,28019.0,197651.0,0.0286
19,29347.0,679658.0,0.026000000000000002
20,29347.0,899868.0,0.16699999999999998
21,30399.0,242888.0,0.5001
22,30399.0,381047.0,0.030699999999999998
23,30399.0,1427408.0,1.0
24,30399.0,541591.0,1.0
25,30399.0,833897.0,0.9990000000000001
26,30399.0,1040264.0,0.7896
27,30399.0,235144.0,0.043
28,30399.0,12480.0,0.0008
29,30399.0,258995.0,0.022000000000000002
30,30744.0,581762.0,0.12119999999999999
31,33252.0,134696.0,0.04
32,34128.0,1189894.0,0.5001
33,34128.0,958962.0,0.0407
34,34710.0,321253.0,0.0429
35,37795.0,804193.0,1.0
36,37795.0,1444641.0,1.0
37,41293.0,1413153.0,0.0005
38,42052.0,94802.0,0.0002
39,43123.0,186374.0,0.5
40,43123.0,355677.0,0.029900000000000003
41,43123.0,1256096.0,0.03
42,44012.0,84122.0,0.9998999999999999
43,44038.0,1356284.0,0.028300000000000002
44,44038.0,476698.0,0.0178
45,44038.0,174323.0,0.0024
46,44038.0,973853.0,0.005600000000000001
47,44038.0,119882.0,0.0325
48,44295.0,186290.0,0.0296
49,44295.0,621551.0,0.011699999999999999
50,44295.0,355677.0,0.0159
51,44295.0,464477.0,0.0301
52,44295.0,1356284.0,0.03
53,44295.0,1023896.0,0.0342
54,44295.0,668272.0,0.029900000000000003
55,44295.0,869851.0,0.03
56,44295.0,251199.0,0.0195
57,44295.0,14486.0,0.0317
58,44295.0,1379957.0,0.0262
59,44295.0,599693.0,0.030899999999999997
60,44295.0,870066.0,0.027000000000000003
61,44295.0,1509456.0,0.0209
62,44295.0,172866.0,0.0296
63,44295.0,178389.0,0.019799999999999998
64,44295.0,1256096.0,0.0298
65,44295.0,410907.0,0.0202
66,44295.0,1238772.0,0.0038
67,46357.0,197651.0,0.0262
68,48104.0,375760.0,1.0
69,48232.0,1134047.0,1.0
70,52785.0,539249.0,0.030899999999999997
71,55735.0,919703.0,1.0
72,58499.0,451503.0,0.021
73,59350.0,749757.0,0.0321
74,59350.0,1036493.0,0.01
75,59350.0,686828.0,0.2353
76,59929.0,178389.0,0.0181
77,61866.0,580059.0,0.772
78,61866.0,434267.0,0.055099999999999996
79,61866.0,1014529.0,0.0227
80,61866.0,1307424.0,0.045
81,61866.0,411231.0,0.029900000000000003
82,62267.0,1249159.0,0.18350000000000002
83,62587.0,1484509.0,0.0786
84,62587.0,496152.0,0.9998
85,62755.0,104255.0,0.018600000000000002
86,63355.0,245500.0,0.006999999999999999
87,63355.0,1102025.0,0.01
88,63769.0,1410738.0,1.0
89,63808.0,398151.0,1.0
90,63808.0,719533.0,1.0
91,66581.0,529864.0,1.0
92,69328.0,197651.0,0.020099999999999996
93,71312.0,1320184.0,0.0553
94,73824.0,621551.0,0.0006
95,75279.0,409142.0,0.004
96,76449.0,591672.0,1.0
97,79724.0,66581.0,0.5001
98,81182.0,361492.0,0.0021
99,81826.0,1282125.0,1.0
100,81826.0,1381620.0,1.0
101,82952.0,1413153.0,0.095
102,84122.0,749156.0,1.0
103,84175.0,728004.0,1.0
104,85925.0,705610.0,1.0
105,86089.0,1364853.0,1.0
106,88365.0,1081083.0,0.0001
107,91003.0,621551.0,0.0001
108,92173.0,1440848.0,0.1555
109,92809.0,1366657.0,0.0096
110,94802.0,124597.0,0.1245
111,94802.0,359763.0,0.0355
112,98902.0,491630.0,1.0
113,104255.0,460648.0,0.019799999999999998
114,104911.0,359763.0,0.0040999999999999995
115,106741.0,365498.0,0.0002
116,110987.0,618567.0,0.01
117,110987.0,553995.0,0.6
118,111905.0,1428852.0,1.0
119,111948.0,1414229.0,0.0525
120,112682.0,298779.0,0.111
121,113787.0,294367.0,0.1301
122,115030.0,427056.0,0.3556
123,115145.0,1293833.0,0.6667000000000001
124,118033.0,868752.0,0.006999999999999999
125,118033.0,245500.0,0.006
126,118033.0,1102025.0,0.006
127,119107.0,659130.0,0.024399999999999998
128,119882.0,568618.0,0.5001
129,119939.0,197651.0,0.0202
130,120943.0,1030015.0,0.0052
131,122674.0,539249.0,0.0355
132,123865.0,742284.0,0.27140000000000003
133,124597.0,359763.0,0.0629
134,124844.0,498485.0,0.0762
135,125165.0,29347.0,1.0
136,125165.0,1365996.0,0.9998999999999999
137,125165.0,191235.0,0.34380000000000005
138,125165.0,55735.0,0.6113000000000001
139,125165.0,895323.0,0.2901
140,125165.0,653722.0,0.1318
141,125165.0,901962.0,0.455
142,125959.0,1366657.0,0.010700000000000001
143,128026.0,1413153.0,0.0044
