,company_id,assets,nace_2digit,nace_4digit,is_biotech
191,3128982,,,,False
192,3157797,,,,False
193,3181385,1168980397.0,65.0,6511.0,False
194,3207393,,,,False
195,3216412,,,,False
196,3225344,,,,False
197,3237736,15122019000.0,64.0,6419.0,False
198,3241685,,,,False
199,3244350,,,,False
200,3254097,249609000.0,27.0,2740.0,False
201,3260993,2573871.0,64.0,4673.0,False
202,3264722,813502773.0,30.0,3030.0,False
203,3274528,4675507522.0,65.0,6511.0,False
204,3288889,1162953.0,72.0,7211.0,True
205,3310487,,,,False
206,3320580,,64.0,6400.0,False
207,3324310,846349045.0,65.0,6511.0,False
208,3326944,94233629.0,70.0,7022.0,False
209,3352370,,,,False
210,3387119,,,,False
211,3448387,870128000000.0,65.0,6500.0,False
212,3454523,,,,False
213,3456300,12694520000.0,64.0,6419.0,False
214,3459110,,,,False
215,3473380,,,,False
216,3515444,,,,False
217,3520532,,,,False
218,3524219,338647763.0,66.0,6630.0,False
219,3524914,,,,False
220,3538316,7099842.0,72.0,7211.0,True
221,3556922,,,,False
222,3563251,,,,False
223,3579823,,,,False
224,3582428,,,,False
225,3592683,,,,False
226,3602890,,,,False
227,3605982,20503395000.0,65.0,6511.0,False
228,3613050,,,,False
229,3620725,324402385.0,70.0,7010.0,False
230,3633158,25711893.0,72.0,7211.0,True
231,3633706,12492341.0,64.0,6490.0,False
232,3679023,183001823.0,68.0,6831.0,False
233,3721884,669105304.0,65.0,6511.0,False
234,3728060,,,,False
235,3744125,,,,False
236,3753784,,,,False
237,3756692,33286089.0,72.0,7211.0,True
238,3852197,1418313000.0,61.0,6202.0,False
239,3898028,714989043.0,66.0,6619.0,False
240,3914538,23306758000.0,64.0,6419.0,False
241,3932825,,,,False
242,3977602,,,,False
243,3980885,,,,False
244,4008987,1191859.0,72.0,7211.0,True
245,4014287,305262671000.0,65.0,6500.0,False
246,4040729,,,,False
247,4044329,,,,False
248,4067481,965544538.0,64.0,6420.0,False
249,4103271,6037814.0,66.0,6619.0,False
250,4109179,16289328000.0,64.0,6419.0,False
251,4119526,5834081000.0,64.0,6419.0,False
252,4123136,,,,False
253,4156443,,,,False
254,4172556,,,,False
255,4180340,5452.0,64.0,6420.0,False
256,4200502,,,,False
257,4208160,,,,False
258,4211424,1239807717.0,64.0,6420.0,False
259,4276136,4944258102.0,69.0,6420.0,False
260,4284084,378507895.0,64.0,6420.0,False
261,4299211,13469596000.0,64.0,6419.0,False
262,4300553,23459578000.0,64.0,6419.0,False
263,4301578,,,,False
264,4303393,,,,False
265,4322194,8197015.0,70.0,7211.0,True
266,4351951,427663568.0,64.0,6419.0,False
267,4371143,20403322000.0,64.0,6419.0,False
268,4415955,11007886910.0,64.0,6499.0,False
269,4420975,610565105.0,81.0,8110.0,False
270,4452043,14618040.0,70.0,7010.0,False
271,4455578,,64.0,6430.0,False
272,4494758,,,,False
273,4518524,37352100000.0,65.0,6511.0,False
274,4523642,,,,False
275,4530454,61953000.0,66.0,6630.0,False
276,4569073,,,,False
277,4639489,1069493722.0,66.0,6630.0,False
278,4641743,3691671000.0,65.0,6500.0,False
279,4675942,,,,False
280,4681393,,,,False
281,4681601,143466000.0,64.0,6419.0,False
282,4695866,,,,False
283,4714302,,,,False
284,4733222,1084722296.0,64.0,6420.0,False
285,4783720,47720773.0,,,False
286,4815173,,,,False
287,4838174,,,,False
288,4853842,,,,False
289,4859371,22416539.0,47.0,4774.0,False
290,4870113,,,,False
291,4916463,9501272000.0,64.0,6419.0,False
292,4975254,6152911000.0,64.0,6419.0,False
293,4977229,8965095000.0,65.0,6511.0,False
294,4982379,,,,False
295,5035077,,84.0,8411.0,False
296,5039890,9453038000.0,64.0,6419.0,False
297,5077586,,,,False
298,5093794,9094624000.0,64.0,6419.0,False
299,5100202,,,,False
300,5105209,542471061.0,64.0,3030.0,False
301,5117677,19068601000.0,64.0,6419.0,False
302,5124518,412149975.0,65.0,6511.0,False
303,5194667,335514000.0,64.0,6420.0,False
304,5202399,363678803.0,66.0,7022.0,False
305,5209871,192217758575.0,64.0,6419.0,False
306,5236225,14353587.0,64.0,6430.0,False
307,5246790,8833973000.0,65.0,6511.0,False
308,5271182,2300621000.0,64.0,6419.0,False
309,5291107,61130724000.0,64.0,6420.0,False
310,5315595,186732845.0,64.0,6420.0,False
311,5320003,,,,False
312,5328499,29138533000.0,64.0,6419.0,False
313,5334719,643371168.0,64.0,6499.0,False
314,5355723,370908000.0,72.0,2660.0,False
315,5372830,10338532.0,79.0,7990.0,False
316,5391118,3833320.0,41.0,4120.0,False
317,5411291,25598452000.0,64.0,6419.0,False
318,5417694,11162.0,30.0,7320.0,False
319,5446758,,,,False
320,5447601,77896647.0,66.0,6630.0,False
321,5461640,4370285.0,25.0,2599.0,False
322,5467091,,68.0,6810.0,False
323,5477177,,,,False
324,5478956,,,,False
325,5484409,2216027000.0,64.0,6419.0,False
326,5498924,,,,False
327,5515510,313222618.0,64.0,6420.0,False
328,5515916,,,,False
329,5522671,17698047000.0,65.0,6500.0,False
330,5531002,,,,False
331,5557350,3368802.0,66.0,6619.0,False
332,5558357,15145611000.0,64.0,6419.0,False
333,5564682,,,,False
334,5565324,,,,False
335,5590664,64687391.0,35.0,3511.0,False
336,5610516,,,,False
337,5621887,338166291.0,66.0,6619.0,False
338,5636384,,,,False
339,5695637,11690507000.0,64.0,6419.0,False
340,5708926,,,,False
341,5712407,,,,False
342,5745517,134806183.0,64.0,6492.0,False
343,5758669,,,,False
344,5765110,204480540530.0,64.0,6419.0,False
345,5775418,,,,False
346,5809960,555619000000.0,64.0,6419.0,False
347,5810758,,,,False
348,5815049,,,,False
349,5927624,16721230000.0,64.0,6419.0,False
350,5993899,21995374000.0,64.0,6419.0,False
351,6018271,,,,False
352,6029224,,,,False
353,6059203,,,,False
354,6078117,5548109.0,72.0,7211.0,True
355,6078577,,,,False
356,6112881,203316207.0,38.0,3822.0,False
