,company_id,assets,nace_2digit,nace_4digit,countryisocode,is_biotech
163,2735670,,,,AT,False
164,2747074,1280739.0,25.0,2511.0,BE,False
165,2762498,53640458.0,82.0,8299.0,GB,False
166,2763925,,,,DK,False
167,2800264,,,,HK,False
168,2817442,43284761.0,82.0,8299.0,BE,False
169,2836159,,,,NO,False
170,2859591,17441000000.0,65.0,6500.0,FR,False
171,2866343,,,,BE,False
172,2871422,,,,US,False
173,2879857,204820347.0,65.0,6511.0,SE,False
174,2884183,14020084000.0,64.0,6419.0,FR,False
175,2903139,5703757.0,72.0,7211.0,BE,True
176,2908373,57933981.0,66.0,6619.0,AT,False
177,2952540,163109377.0,73.0,7320.0,BE,False
178,2968199,,,,SE,False
179,2977831,,,,US,False
180,3006198,10626732000.0,64.0,6419.0,FR,False
181,3007859,,,,AT,False
182,3020563,,,,SE,False
183,3025778,142530000000.0,64.0,6499.0,FR,False
184,3042805,,,,US,False
185,3076247,362489140.0,64.0,6491.0,BE,False
186,3077389,,,,SE,False
187,3080257,43953999.0,64.0,6420.0,AT,False
188,3094430,114778905.0,42.0,4120.0,BE,False
189,3099235,,,,FR,False
190,3126534,,,,US,False
191,3128982,,,,JP,False
192,3157797,,,,BE,False
193,3181385,1168980397.0,65.0,6511.0,SE,False
194,3207393,,,,FI,False
195,3216412,,,,US,False
196,3225344,,,,NO,False
197,3237736,15122019000.0,64.0,6419.0,FR,False
198,3241685,,,,BE,False
199,3244350,,,,BE,False
200,3254097,249609000.0,27.0,2740.0,FI,False
201,3260993,2573871.0,64.0,4673.0,BE,False
202,3264722,813502773.0,30.0,3030.0,BE,False
203,3274528,4675507522.0,65.0,6511.0,SE,False
204,3288889,1162953.0,72.0,7211.0,BE,True
205,3310487,,,,BE,False
206,3320580,,64.0,6400.0,DE,False
207,3324310,846349045.0,65.0,6511.0,SE,False
208,3326944,94233629.0,70.0,7022.0,FR,False
209,3352370,,,,ES,False
210,3387119,,,,AT,False
211,3448387,870128000000.0,65.0,6500.0,FR,False
212,3454523,,,,NO,False
213,3456300,12694520000.0,64.0,6419.0,FR,False
214,3459110,,,,AT,False
215,3473380,,,,US,False
216,3515444,,,,BE,False
217,3520532,,,,LU,False
218,3524219,338647763.0,66.0,6630.0,GB,False
219,3524914,,,,BE,False
220,3538316,7099842.0,72.0,7211.0,BE,True
221,3556922,,,,FI,False
222,3563251,,,,BE,False
223,3579823,,,,NO,False
