,company_id,assets,nace_4digit,nace_2digit,country,is_biotech,all_bvdid,Description,is_financial
226,7289502.0,256909000.0,6419.0,64.0,34.0,False,ATFEB48367,"Financial service activities, except insurance and pension funding",True
227,7312937.0,60143941.0,6630.0,66.0,60.0,False,SE5563642783,Activities auxiliary to financial services and insurance activities,False
228,7360791.0,120054.0,7021.0,70.0,26.0,False,BE0552764792,Activities of head offices; management consultancy activities,False
229,7382084.0,49440000.0,6419.0,64.0,34.0,False,ATFEB45365,"Financial service activities, except insurance and pension funding",True
230,7413900.0,922147670373.0,6411.0,64.0,11.0,False,NO937884117,"Financial service activities, except insurance and pension funding",True
231,7434393.0,164241.0,7010.0,70.0,34.0,False,AT9090018190,Activities of head offices; management consultancy activities,False
232,7457915.0,31388.0,7211.0,72.0,26.0,True,BE0662719440,Scientific research and development ,False
233,7474463.0,121122461.0,2732.0,27.0,26.0,False,BE0401782512,Manufacture of electrical equipment,False
234,7496231.0,229267892.0,6612.0,66.0,60.0,False,SE5560349689,Activities auxiliary to financial services and insurance activities,False
235,7519836.0,303688766.0,6511.0,65.0,60.0,False,SE5732018329,"Insurance, reinsurance and pension funding, except compulsory social security",False
236,7544919.0,10536579000.0,6419.0,64.0,161.0,False,FR776916207,"Financial service activities, except insurance and pension funding",True
237,7596002.0,669105304.0,6511.0,65.0,60.0,False,SE5780009956,"Insurance, reinsurance and pension funding, except compulsory social security",False
238,7598101.0,7136638.0,6630.0,66.0,60.0,False,SE5566142906,Activities auxiliary to financial services and insurance activities,False
239,7598560.0,9094624000.0,6419.0,64.0,161.0,False,FR775569726,"Financial service activities, except insurance and pension funding",True
240,7702244.0,321938000.0,6419.0,64.0,34.0,False,ATFEB48356,"Financial service activities, except insurance and pension funding",True
241,7729267.0,143466000.0,6419.0,64.0,34.0,False,ATFEB48378,"Financial service activities, except insurance and pension funding",True
242,7759840.0,846349045.0,6511.0,65.0,60.0,False,SE5832014905,"Insurance, reinsurance and pension funding, except compulsory social security",False
243,7904405.0,16721230000.0,6419.0,64.0,161.0,False,FR755501590,"Financial service activities, except insurance and pension funding",True
244,7918964.0,1930575000.0,6419.0,64.0,34.0,False,ATFEB51007,"Financial service activities, except insurance and pension funding",True
245,7920159.0,9086801000.0,6419.0,64.0,161.0,False,FR314222902,"Financial service activities, except insurance and pension funding",True
246,7926255.0,,6420.0,64.0,34.0,False,AT9070074783,"Financial service activities, except insurance and pension funding",True
247,7927578.0,10338532.0,7990.0,79.0,34.0,False,AT9030127473,"Travel agency, tour operator and other reservation service and related activities",False
248,7966013.0,23306758000.0,6419.0,64.0,161.0,False,FR434651246,"Financial service activities, except insurance and pension funding",True
249,7980713.0,29138533000.0,6419.0,64.0,161.0,False,FR399973825,"Financial service activities, except insurance and pension funding",True
250,8036417.0,1313271000000.0,6419.0,64.0,161.0,False,FR662042449,"Financial service activities, except insurance and pension funding",True
251,8036489.0,13836455.0,4673.0,46.0,26.0,False,BE0415258285,"Wholesale trade, except of motor vehicles and motorcycles",False
252,8128787.0,82464251.0,2014.0,20.0,26.0,False,BE0862492029,Manufacture of chemicals and chemical products,False
253,8141965.0,37380695333.0,6511.0,65.0,60.0,False,SE8020144120,"Insurance, reinsurance and pension funding, except compulsory social security",False
254,8155201.0,542471061.0,3030.0,64.0,26.0,False,BE0406132367,"Financial service activities, except insurance and pension funding",True
255,8203411.0,25598452000.0,6419.0,64.0,161.0,False,FR857500227,"Financial service activities, except insurance and pension funding",True
256,8294766.0,124137499000.0,6500.0,65.0,113.0,False,DEFEI1007380,"Insurance, reinsurance and pension funding, except compulsory social security",False
257,8296897.0,154579000.0,6419.0,64.0,34.0,False,ATFEB48351,"Financial service activities, except insurance and pension funding",True
